cik,as_of,label,days_to_event,signal,confidence,risk_score,risk_probability,steps,terminated_because,verification_passed,tools_called,baseline_seen
1850838,2025-01-01,1,40,healthy,0.9,14.0,0.14,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|get_metric|get_peer_comparison|check_threshold|get_line_item|get_line_item,0
1893311,2025-01-01,1,256,severe_risk,0.8,82.0,0.82,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_trend|get_prior_distress_events|get_metric|check_threshold|check_threshold,0
7536,2025-04-01,0,,healthy,0.6,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_line_item,0
78003,2025-04-01,0,,healthy,0.9,7.0,0.07,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
101829,2025-04-01,0,,healthy,0.9,5.0,0.05,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_trend,0
105319,2025-04-01,1,35,severe_risk,1.0,95.0,0.95,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|check_threshold|check_threshold,0
723254,2025-04-01,0,,healthy,0.9,2.0,0.02,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
748790,2025-04-01,1,17,severe_risk,0.9,92.0,0.92,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_trend|get_prior_distress_events|get_metric|check_threshold|get_peer_comparison,0
766704,2025-04-01,0,,healthy,0.6,5.0,0.05,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison|check_threshold,0
812074,2025-04-01,0,,elevated_risk,0.6,58.0,0.58,13,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|get_line_item,0
818686,2025-04-01,0,,elevated_risk,0.8,42.0,0.42,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
895419,2025-04-01,1,90,watch,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_prior_distress_events|get_line_item|get_line_item|get_line_item|get_line_item,0
927653,2025-04-01,0,,healthy,0.9,7.0,0.07,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_prior_distress_events|get_trend,0
936468,2025-04-01,0,,watch,0.9,14.0,0.14,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_trend|get_trend|get_peer_comparison,0
1058623,2025-04-01,1,337,severe_risk,0.9,87.0,0.87,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|get_trend|check_threshold,0
1159167,2025-04-01,1,257,elevated_risk,0.8,52.0,0.52,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison|get_line_item,0
1164727,2025-04-01,0,,healthy,0.9,5.0,0.05,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend,0
1220754,2025-04-01,1,141,severe_risk,0.9,85.0,0.85,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_trend|check_threshold|check_threshold,0
1326380,2025-04-01,0,,healthy,1.0,1.0,0.01,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
1333986,2025-04-01,0,,elevated_risk,0.6,78.0,0.78,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_metric|get_metric|get_prior_distress_events|get_peer_comparison|check_threshold,0
1341439,2025-04-01,0,,healthy,0.6,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_trend|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0
1411579,2025-04-01,0,,elevated_risk,0.8,68.0,0.68,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_trend|get_peer_comparison|check_threshold,0
1455684,2025-04-01,1,132,severe_risk,0.9,88.0,0.88,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1456772,2025-04-01,1,212,watch,0.6,28.0,0.28,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|get_line_item|get_line_item|get_line_item,0
1532286,2025-04-01,1,306,severe_risk,0.9,88.0,0.88,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1705012,2025-04-01,1,300,insufficient_evidence,0.0,,0.5,0,case_error,0,,0
1758057,2025-04-01,1,258,severe_risk,0.9,85.0,0.85,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1772695,2025-04-01,1,68,watch,0.8,32.0,0.32,13,model_finished,1,available_periods|get_metric|get_metric|get_trend|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_line_item|get_line_item|get_line_item,0
1856437,2025-04-01,0,,watch,0.9,18.0,0.18,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1893311,2025-04-01,1,166,severe_risk,0.9,87.0,0.87,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_line_item|get_line_item,0
2488,2025-07-01,0,,healthy,0.9,3.0,0.03,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold,0
29534,2025-07-01,0,,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison,0
33213,2025-07-01,0,,watch,0.8,22.0,0.22,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold,0
64803,2025-07-01,0,,healthy,0.9,14.0,0.14,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_metric|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
70318,2025-07-01,0,,healthy,0.95,2.0,0.02,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events,0
89800,2025-07-01,0,,watch,0.6,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison|check_threshold,0
92122,2025-07-01,0,,healthy,0.9,8.0,0.08,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_peer_comparison|check_threshold|check_threshold,0
720154,2025-07-01,1,337,elevated_risk,0.8,52.0,0.52,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
723254,2025-07-01,0,,healthy,0.9,3.0,0.03,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_prior_distress_events|get_trend,0
745732,2025-07-01,0,,healthy,0.9,1.0,0.01,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|check_threshold|check_threshold,0
764065,2025-07-01,0,,elevated_risk,0.6,34.0,0.34,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_trend|get_metric|get_peer_comparison,0
764478,2025-07-01,0,,healthy,0.6,8.0,0.08,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
827187,2025-07-01,1,346,severe_risk,0.9,88.0,0.88,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend,0
866787,2025-07-01,0,,healthy,0.9,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_line_item|get_line_item|get_line_item|get_line_item|get_metric|get_metric|get_prior_distress_events,0
1001233,2025-07-01,1,357,elevated_risk,0.8,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_trend|get_peer_comparison|check_threshold|get_line_item,0
1037976,2025-07-01,0,,healthy,0.9,5.0,0.05,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend,0
1058623,2025-07-01,1,246,severe_risk,0.8,82.0,0.82,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_trend|get_peer_comparison,0
1090012,2025-07-01,0,,healthy,0.5,12.0,0.12,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_line_item|get_metric|get_metric|get_trend|get_prior_distress_events|get_trend|get_peer_comparison|check_threshold,0
1099219,2025-07-01,0,,elevated_risk,0.8,42.0,0.42,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|get_line_item,0
1133421,2025-07-01,0,,healthy,0.9,5.0,0.05,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend,0
1159167,2025-07-01,1,166,severe_risk,0.8,78.0,0.78,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1177394,2025-07-01,0,,healthy,0.9,7.0,0.07,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison,0
1206264,2025-07-01,0,,watch,0.8,28.0,0.28,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_peer_comparison|check_threshold|check_threshold,0
1220754,2025-07-01,1,50,severe_risk,0.8,78.0,0.78,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|check_threshold|get_peer_comparison,0
1254699,2025-07-01,1,289,watch,0.8,18.0,0.18,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_metric|get_trend|get_peer_comparison|check_threshold,0
1326380,2025-07-01,0,,healthy,1.0,1.0,0.01,7,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events,0
1355096,2025-07-01,1,289,severe_risk,0.9,85.0,0.85,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1455684,2025-07-01,1,41,severe_risk,0.9,88.0,0.88,8,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|get_metric,0
1456772,2025-07-01,1,121,elevated_risk,0.8,68.0,0.68,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_prior_distress_events|get_trend|get_trend|get_peer_comparison,0
1484769,2025-07-01,0,,elevated_risk,0.8,68.0,0.68,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold|get_peer_comparison,0
1510295,2025-07-01,0,,watch,0.8,32.0,0.32,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_metric|get_trend|get_prior_distress_events|get_peer_comparison,0
1519061,2025-07-01,1,329,elevated_risk,0.6,42.0,0.42,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_peer_comparison|check_threshold|check_threshold,0
1532286,2025-07-01,1,215,severe_risk,0.9,78.0,0.78,9,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1705012,2025-07-01,1,209,severe_risk,0.9,88.0,0.88,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_metric|get_line_item|get_line_item|get_line_item,0
1744489,2025-07-01,0,,elevated_risk,0.6,72.0,0.72,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_line_item|get_metric|get_trend|get_trend|get_prior_distress_events|check_threshold|check_threshold,0
1758057,2025-07-01,1,167,severe_risk,0.9,88.0,0.88,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_metric|get_trend|get_trend|get_prior_distress_events|get_trend,0
1808220,2025-07-01,1,341,elevated_risk,0.5,38.0,0.38,12,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_peer_comparison|get_prior_distress_events|check_threshold|get_line_item|get_line_item,0
1893311,2025-07-01,1,75,elevated_risk,0.8,72.0,0.72,10,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_prior_distress_events|get_metric|get_peer_comparison,0
1901799,2025-07-01,1,321,severe_risk,0.8,78.0,0.78,11,model_finished,1,available_periods|get_metric|get_metric|get_metric|get_metric|get_trend|get_metric|get_peer_comparison|get_prior_distress_events|get_metric|check_threshold,0
